Image_ID,Penultimate_Output,GT_Value
02078__00446.jpg,"[array([[1.863065  , 4.3018684 , 0.        , 0.73174286]], dtype=float32)]","[array([[  1.6516391, -10.521687 ]], dtype=float32)]"
02078__00834.jpg,"[array([[2.1503167 , 0.12179814, 0.        , 0.        ]], dtype=float32)]","[array([[ 1.8348715, -3.3449116]], dtype=float32)]"
02078__00780.jpg,"[array([[0.92492396, 3.6753986 , 0.        , 0.78853846]], dtype=float32)]","[array([[-0.10420535, -8.624141  ]], dtype=float32)]"
02078__00027.jpg,"[array([[1.6264504 , 4.34939   , 0.        , 0.62558526]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00751.jpg,"[array([[1.679541 , 4.145849 , 0.       , 0.6211587]], dtype=float32)]","[array([[ 0.92604494, -9.559612  ]], dtype=float32)]"
02078__00330.jpg,"[array([[1.2266381 , 0.23742504, 0.        , 0.        ]], dtype=float32)]","[array([[-0.5365798, -3.0952547]], dtype=float32)]"
02078__00497.jpg,"[array([[1.9606231, 2.858614 , 0.       , 1.0187085]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00609.jpg,"[array([[2.0949829, 3.6049352, 0.       , 0.8444473]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00848.jpg,"[array([[0.922746  , 3.4421673 , 0.        , 0.78370607]], dtype=float32)]","[array([[-0.0865  , -8.294756]], dtype=float32)]"
02078__00899.jpg,"[array([[1.4401559, 4.4055276, 0.       , 0.6836867]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02078__00675.jpg,"[array([[2.3773768, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 3.365   , -1.426988]], dtype=float32)]"
02078__00214.jpg,"[array([[1.866057 , 2.8288434, 0.       , 0.9274685]], dtype=float32)]","[array([[ 1.630624, -7.024787]], dtype=float32)]"
02078__00910.jpg,"[array([[1.1229625, 2.8096163, 0.       , 1.1277785]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
02078__00103.jpg,"[array([[2.2070785, 2.975358 , 0.       , 0.9248574]], dtype=float32)]","[array([[ 2.9814525, -7.3531337]], dtype=float32)]"
02078__00672.jpg,"[array([[2.766947  , 0.39648172, 0.        , 0.        ]], dtype=float32)]","[array([[ 3.365   , -1.426988]], dtype=float32)]"
02078__00213.jpg,"[array([[1.9334576 , 2.8505356 , 0.        , 0.94762933]], dtype=float32)]","[array([[ 1.630624, -7.024787]], dtype=float32)]"
02078__00917.jpg,"[array([[1.3828   , 3.5823772, 0.       , 0.9436268]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
02078__00104.jpg,"[array([[2.050902  , 2.2528665 , 0.        , 0.76028365]], dtype=float32)]","[array([[ 2.9814525, -7.3531337]], dtype=float32)]"
02078__00833.jpg,"[array([[2.0037255, 0.5257929, 0.       , 0.       ]], dtype=float32)]","[array([[ 1.8348715, -3.3449116]], dtype=float32)]"
02078__00441.jpg,"[array([[0.440662 , 1.9859968, 0.       , 1.0415636]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
02078__00020.jpg,"[array([[1.756757  , 4.030024  , 0.        , 0.72002476]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00787.jpg,"[array([[1.5032531, 3.7984502, 0.       , 0.7833263]], dtype=float32)]","[array([[-0.8732332, -8.419895 ]], dtype=float32)]"
02078__00756.jpg,"[array([[1.9661512, 2.4838526, 0.       , 0.9985185]], dtype=float32)]","[array([[ 1.630624, -7.024787]], dtype=float32)]"
02078__00490.jpg,"[array([[2.1858466 , 3.2315729 , 0.        , 0.98423636]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
