Image_ID,Penultimate_Output,GT_Value
03183__00349.jpg,"[array([[0.45193872, 0.17340463, 0.19549114, 0.        ]], dtype=float32)]","[array([[ 0.       , -1.7015493]], dtype=float32)]"
03183__00728.jpg,"[array([[1.0894754, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 1.7092862, -2.9548507]], dtype=float32)]"
03183__00398.jpg,"[array([[1.2629452, 2.2220554, 0.9011958, 1.1448551]], dtype=float32)]","[array([[ 1.7686625, -8.732562 ]], dtype=float32)]"
03183__00106.jpg,"[array([[0.58068687, 1.762486  , 0.55130035, 0.6428249 ]], dtype=float32)]","[array([[ 1.8642656, -8.756939 ]], dtype=float32)]"
03183__00567.jpg,"[array([[0.44933066, 1.4278727 , 0.5274324 , 0.08213615]], dtype=float32)]","[array([[-0.04250681, -5.9372773 ]], dtype=float32)]"
03183__00211.jpg,"[array([[0.47276  , 0.8680504, 0.5593639, 0.       ]], dtype=float32)]","[array([[ 0.8953586, -1.9161259]], dtype=float32)]"
03183__00670.jpg,"[array([[0.33509007, 2.5910976 , 0.5512321 , 0.8491518 ]], dtype=float32)]","[array([[-1.93875 , -9.467451]], dtype=float32)]"
03183__00335.jpg,"[array([[0.7393504 , 0.19702366, 0.16844225, 0.        ]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
03183__00492.jpg,"[array([[0.62020355, 0.6810385 , 0.35943013, 0.        ]], dtype=float32)]","[array([[-0.43623254, -3.8506503 ]], dtype=float32)]"
03183__00754.jpg,"[array([[1.1349508, 0.9805238, 0.5735777, 0.       ]], dtype=float32)]","[array([[ 1.93875, -5.5845 ]], dtype=float32)]"
03183__00785.jpg,"[array([[0.21560065, 0.7120769 , 0.2034811 , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00022.jpg,"[array([[0.49840602, 2.364676  , 0.8554454 , 0.88537574]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00831.jpg,"[array([[0.6524304 , 0.63592786, 0.47012743, 0.        ]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
03183__00443.jpg,"[array([[0.46048784, 1.4786069 , 0.7580195 , 0.696661  ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00495.jpg,"[array([[0.37825727, 1.1716344 , 0.6127436 , 0.32640284]], dtype=float32)]","[array([[-0.43623254, -3.8506503 ]], dtype=float32)]"
03183__00332.jpg,"[array([[0.64948833, 0.502279  , 0.26414436, 0.        ]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
03183__00753.jpg,"[array([[0.99342686, 1.4388521 , 0.7754727 , 0.8197041 ]], dtype=float32)]","[array([[ 1.93875, -5.5845 ]], dtype=float32)]"
03183__00025.jpg,"[array([[0.499928  , 2.1594462 , 0.5651529 , 0.91746557]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00782.jpg,"[array([[1.0805943, 0.9056637, 0.5807341, 0.       ]], dtype=float32)]","[array([[ 1.3863043, -6.4302135]], dtype=float32)]"
03183__00444.jpg,"[array([[0.5403622, 1.7632691, 0.6833078, 0.7335181]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00836.jpg,"[array([[0.8295954 , 1.3305827 , 0.66822195, 0.05811061]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
03183__00088.jpg,"[array([[0.35418588, 1.1505945 , 0.5078348 , 0.        ]], dtype=float32)]","[array([[ 0.      , -9.467451]], dtype=float32)]"
03183__00059.jpg,"[array([[0.48988408, 1.8564378 , 0.5644041 , 0.8077225 ]], dtype=float32)]","[array([[ 0.    , -5.5845]], dtype=float32)]"
03183__00438.jpg,"[array([[0.7161537 , 0.67564267, 0.49553832, 0.        ]], dtype=float32)]","[array([[ 0.60098094, -3.4022117 ]], dtype=float32)]"
03183__00101.jpg,"[array([[0.28108418, 1.7919632 , 0.27574125, 0.5526271 ]], dtype=float32)]","[array([[ 1.8642656, -8.756939 ]], dtype=float32)]"
03183__00560.jpg,"[array([[0.5177973 , 1.5392725 , 0.5462422 , 0.32655126]], dtype=float32)]","[array([[-0.04250681, -5.9372773 ]], dtype=float32)]"
03183__00216.jpg,"[array([[0.6303391 , 0.47695044, 0.21508823, 0.        ]], dtype=float32)]","[array([[ 0.8953586, -1.9161259]], dtype=float32)]"
03183__00677.jpg,"[array([[0.56080246, 0.        , 0.12432442, 0.        ]], dtype=float32)]","[array([[ 0.       , -1.7015493]], dtype=float32)]"
03183__00838.jpg,"[array([[0.76772004, 0.8724974 , 0.5568641 , 0.        ]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
03183__00173.jpg,"[array([[0.3954754, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 0.47589442, -3.0465467 ]], dtype=float32)]"
03183__00512.jpg,"[array([[0.52968466, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[-0.5138555, -2.5388103]], dtype=float32)]"
03183__00264.jpg,"[array([[0.59235394, 0.07909947, 0.05932443, 0.        ]], dtype=float32)]","[array([[-0.969375 , -3.6430247]], dtype=float32)]"
03183__00605.jpg,"[array([[0.45018587, 0.30002457, 0.27976793, 0.        ]], dtype=float32)]","[array([[ 0.60098094, -3.4022117 ]], dtype=float32)]"
03183__00340.jpg,"[array([[0.6152008 , 0.4633991 , 0.38358283, 0.        ]], dtype=float32)]","[array([[ 0.       , -1.7015493]], dtype=float32)]"
03183__00721.jpg,"[array([[0.3263889 , 0.32447433, 0.20759405, 0.        ]], dtype=float32)]","[array([[-1.0515524, -3.9415278]], dtype=float32)]"
03183__00086.jpg,"[array([[0.23516856, 0.90305436, 0.4051952 , 0.        ]], dtype=float32)]","[array([[-0.43623254, -3.8506503 ]], dtype=float32)]"
03183__00057.jpg,"[array([[0.5084765 , 2.801773  , 0.76768255, 0.78323907]], dtype=float32)]","[array([[ 1.93875 , -9.467451]], dtype=float32)]"
03183__00391.jpg,"[array([[1.1668186, 1.605619 , 0.8975714, 0.757889 ]], dtype=float32)]","[array([[ 1.0453461, -4.05227  ]], dtype=float32)]"
03183__00436.jpg,"[array([[0.8400674 , 0.30156147, 0.25571176, 0.        ]], dtype=float32)]","[array([[ 0.60098094, -3.4022117 ]], dtype=float32)]"
03183__00844.jpg,"[array([[0.766315  , 0.57237154, 0.44063622, 0.        ]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
03183__00218.jpg,"[array([[0.8296163 , 0.        , 0.09074415, 0.        ]], dtype=float32)]","[array([[ 0.8953586, -1.9161259]], dtype=float32)]"
03183__00679.jpg,"[array([[0.559045, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[ 0.       , -1.7015493]], dtype=float32)]"
03183__00347.jpg,"[array([[0.5832404 , 0.48714474, 0.24948211, 0.        ]], dtype=float32)]","[array([[ 0.       , -1.7015493]], dtype=float32)]"
03183__00081.jpg,"[array([[0.4658435, 1.7639163, 0.623404 , 0.7478096]], dtype=float32)]","[array([[-0.43623254, -3.8506503 ]], dtype=float32)]"
03183__00726.jpg,"[array([[0.58238375, 0.8075251 , 0.38197947, 0.        ]], dtype=float32)]","[array([[-1.0515524, -3.9415278]], dtype=float32)]"
03183__00050.jpg,"[array([[0.3503373, 1.1636239, 0.5232941, 0.3328706]], dtype=float32)]","[array([[ 1.93875 , -9.467451]], dtype=float32)]"
03183__00843.jpg,"[array([[0.9267231 , 0.68322563, 0.46853724, 0.        ]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
03183__00431.jpg,"[array([[0.5787045 , 0.9441483 , 0.49346307, 0.        ]], dtype=float32)]","[array([[ 0.60098094, -3.4022117 ]], dtype=float32)]"
03183__00396.jpg,"[array([[1.2992659 , 2.1275635 , 0.84706444, 1.1725471 ]], dtype=float32)]","[array([[ 1.7686625, -8.732562 ]], dtype=float32)]"
03183__00108.jpg,"[array([[0.6275286 , 1.9426408 , 0.53432643, 0.7569288 ]], dtype=float32)]","[array([[ 1.8642656, -8.756939 ]], dtype=float32)]"
03183__00569.jpg,"[array([[0.6181751 , 2.7504058 , 0.81347007, 0.8066677 ]], dtype=float32)]","[array([[ 1.93875 , -9.467451]], dtype=float32)]"
03183__00174.jpg,"[array([[0.34167352, 2.34281   , 0.6402244 , 0.90701276]], dtype=float32)]","[array([[ 0.14472593, -7.1324153 ]], dtype=float32)]"
03183__00515.jpg,"[array([[0.5880567 , 0.50117046, 0.27420712, 0.        ]], dtype=float32)]","[array([[-0.5138555, -2.5388103]], dtype=float32)]"
03183__00263.jpg,"[array([[0.8926573, 1.076571 , 0.7555163, 0.       ]], dtype=float32)]","[array([[ 1.3863043, -6.4302135]], dtype=float32)]"
03183__00602.jpg,"[array([[0.92378676, 0.13228105, 0.389519  , 0.        ]], dtype=float32)]","[array([[ 0.60098094, -3.4022117 ]], dtype=float32)]"
03183__00404.jpg,"[array([[0.5220285, 2.9676654, 0.7954505, 0.7491501]], dtype=float32)]","[array([[ 1.7686625, -8.732562 ]], dtype=float32)]"
03183__00065.jpg,"[array([[0.45029438, 1.4069558 , 0.68008745, 0.8140419 ]], dtype=float32)]","[array([[ 0.    , -5.5845]], dtype=float32)]"
03183__00713.jpg,"[array([[0.42477608, 1.678719  , 0.44607466, 0.47496957]], dtype=float32)]","[array([[-1.0515524, -3.9415278]], dtype=float32)]"
03183__00372.jpg,"[array([[0.4790396 , 1.2094271 , 0.68274915, 0.4005124 ]], dtype=float32)]","[array([[-0.04250681, -5.9372773 ]], dtype=float32)]"
03183__00478.jpg,"[array([[0.95063686, 1.964592  , 0.6989343 , 0.7991486 ]], dtype=float32)]","[array([[ 1.8642656, -8.756939 ]], dtype=float32)]"
03183__00019.jpg,"[array([[0.51897776, 2.3113716 , 0.6470639 , 0.9316738 ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00190.jpg,"[array([[0.8423822 , 0.83500606, 0.4759929 , 0.        ]], dtype=float32)]","[array([[ 1.93875  , -1.7015493]], dtype=float32)]"
03183__00637.jpg,"[array([[0.41556796, 1.8347588 , 0.34274384, 0.5009312 ]], dtype=float32)]","[array([[-0.969375 , -3.6430247]], dtype=float32)]"
03183__00256.jpg,"[array([[0.47744727, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 1.3863043, -6.4302135]], dtype=float32)]"
03183__00520.jpg,"[array([[0.37886098, 0.07955935, 0.17107324, 0.        ]], dtype=float32)]","[array([[-0.5138555, -2.5388103]], dtype=float32)]"
03183__00287.jpg,"[array([[0.5355141 , 1.1051366 , 0.5676605 , 0.02707277]], dtype=float32)]","[array([[-1.0515524, -3.9415278]], dtype=float32)]"
03183__00141.jpg,"[array([[0.62450075, 1.0709507 , 0.5385208 , 0.        ]], dtype=float32)]","[array([[-0.5138555, -2.5388103]], dtype=float32)]"
03183__00768.jpg,"[array([[0.79628855, 0.6818247 , 0.48347294, 0.        ]], dtype=float32)]","[array([[ 1.0453461, -4.05227  ]], dtype=float32)]"
03183__00309.jpg,"[array([[0.6115979 , 0.70671356, 0.36369324, 0.        ]], dtype=float32)]","[array([[ 0.55717224, -3.3685024 ]], dtype=float32)]"
03183__00630.jpg,"[array([[0.3873746 , 0.57270104, 0.41116014, 0.        ]], dtype=float32)]","[array([[-0.969375 , -3.6430247]], dtype=float32)]"
03183__00197.jpg,"[array([[1.3890051 , 1.2065169 , 0.67285746, 0.        ]], dtype=float32)]","[array([[ 1.93875  , -1.7015493]], dtype=float32)]"
03183__00251.jpg,"[array([[0.44499812, 0.2945849 , 0.33603597, 0.        ]], dtype=float32)]","[array([[ 1.3863043, -6.4302135]], dtype=float32)]"
03183__00280.jpg,"[array([[0.4382984 , 0.7320747 , 0.44397748, 0.        ]], dtype=float32)]","[array([[-1.0515524, -3.9415278]], dtype=float32)]"
03183__00527.jpg,"[array([[0.70740277, 1.8435515 , 0.63614607, 0.79729426]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03183__00146.jpg,"[array([[0.57750964, 2.010446  , 0.58819264, 0.9322006 ]], dtype=float32)]","[array([[ 1.7092862, -2.9548507]], dtype=float32)]"
03183__00403.jpg,"[array([[0.41924396, 2.7679846 , 0.83014464, 0.7680973 ]], dtype=float32)]","[array([[ 1.7686625, -8.732562 ]], dtype=float32)]"
03183__00871.jpg,"[array([[0.41094646, 0.6076132 , 0.37908426, 0.        ]], dtype=float32)]","[array([[-0.675011, -3.332063]], dtype=float32)]"
03183__00062.jpg,"[array([[0.32974502, 2.2117667 , 0.27446795, 0.9942621 ]], dtype=float32)]","[array([[ 0.    , -5.5845]], dtype=float32)]"
03183__00714.jpg,"[array([[0.51749593, 1.7120005 , 0.4628258 , 0.5785582 ]], dtype=float32)]","[array([[-1.0515524, -3.9415278]], dtype=float32)]"
03183__00375.jpg,"[array([[0.5018976, 0.9778702, 0.526064 , 0.       ]], dtype=float32)]","[array([[-0.04250681, -5.9372773 ]], dtype=float32)]"
03183__00471.jpg,"[array([[1.1605648 , 2.1462822 , 0.74134886, 1.08661   ]], dtype=float32)]","[array([[ 1.8642656, -8.756939 ]], dtype=float32)]"
03183__00803.jpg,"[array([[0.23794164, 1.360066  , 0.33336306, 0.43602148]], dtype=float32)]","[array([[-1.9145887, -3.8693588]], dtype=float32)]"
03183__00010.jpg,"[array([[0.27136207, 0.643431  , 0.2832608 , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00766.jpg,"[array([[1.0166093 , 0.32433692, 0.29000863, 0.        ]], dtype=float32)]","[array([[ 1.0453461, -4.05227  ]], dtype=float32)]"
03183__00307.jpg,"[array([[0.3532941 , 2.4568183 , 0.43618202, 0.9048295 ]], dtype=float32)]","[array([[-1.93875 , -9.467451]], dtype=float32)]"
03183__00199.jpg,"[array([[1.4636929 , 0.5168254 , 0.41149893, 0.        ]], dtype=float32)]","[array([[ 1.93875  , -1.7015493]], dtype=float32)]"
03183__00529.jpg,"[array([[0.5058853 , 1.8936603 , 0.63330984, 0.90019584]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03183__00148.jpg,"[array([[0.9219354 , 1.9376341 , 0.65591866, 0.9693335 ]], dtype=float32)]","[array([[ 1.7092862, -2.9548507]], dtype=float32)]"
03183__00642.jpg,"[array([[0.5368588 , 1.9761435 , 0.47223046, 0.7393262 ]], dtype=float32)]","[array([[ 0.14472593, -7.1324153 ]], dtype=float32)]"
03183__00584.jpg,"[array([[0.5229147 , 0.76552075, 0.36012432, 0.        ]], dtype=float32)]","[array([[ 0.47589442, -3.0465467 ]], dtype=float32)]"
03183__00223.jpg,"[array([[0.24932294, 1.4089508 , 0.35647985, 0.4055143 ]], dtype=float32)]","[array([[-0.675011, -3.332063]], dtype=float32)]"
03183__00555.jpg,"[array([[0.8763749 , 1.1957521 , 0.7425598 , 0.05820037]], dtype=float32)]","[array([[-0.04250681, -5.9372773 ]], dtype=float32)]"
03183__00134.jpg,"[array([[0.5642002 , 1.2077239 , 0.62814194, 0.        ]], dtype=float32)]","[array([[-0.5138555, -2.5388103]], dtype=float32)]"
03183__00693.jpg,"[array([[0.7774449 , 0.7784468 , 0.52436507, 0.        ]], dtype=float32)]","[array([[ 0.55717224, -3.3685024 ]], dtype=float32)]"
03183__00645.jpg,"[array([[0.42278057, 1.025237  , 0.50095826, 0.        ]], dtype=float32)]","[array([[ 0.14472593, -7.1324153 ]], dtype=float32)]"
03183__00224.jpg,"[array([[0.42488346, 1.3407843 , 0.58954155, 0.6162398 ]], dtype=float32)]","[array([[-0.675011, -3.332063]], dtype=float32)]"
03183__00583.jpg,"[array([[0.56993806, 2.152773  , 0.71181816, 0.9882883 ]], dtype=float32)]","[array([[ 1.93875 , -9.467451]], dtype=float32)]"
03183__00552.jpg,"[array([[0.46048033, 1.8457572 , 0.8391184 , 0.98480505]], dtype=float32)]","[array([[ 0.      , -9.467451]], dtype=float32)]"
03183__00694.jpg,"[array([[0.56775326, 0.9180057 , 0.5312124 , 0.        ]], dtype=float32)]","[array([[ 0.55717224, -3.3685024 ]], dtype=float32)]"
03183__00133.jpg,"[array([[0.46683073, 0.71489984, 0.4718346 , 0.        ]], dtype=float32)]","[array([[-0.5138555, -2.5388103]], dtype=float32)]"
03183__00804.jpg,"[array([[0.24502504, 0.9216137 , 0.45512637, 0.        ]], dtype=float32)]","[array([[-1.9145887, -3.8693588]], dtype=float32)]"
03183__00476.jpg,"[array([[0.88711625, 2.3102946 , 0.63037467, 1.0429473 ]], dtype=float32)]","[array([[ 1.8642656, -8.756939 ]], dtype=float32)]"
03183__00017.jpg,"[array([[0.27091393, 2.5448828 , 0.4284324 , 0.87337065]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00761.jpg,"[array([[0.892744  , 1.4742824 , 0.576233  , 0.22303735]], dtype=float32)]","[array([[ 1.0453461, -4.05227  ]], dtype=float32)]"
03183__00300.jpg,"[array([[0.3609324, 2.551489 , 0.56854  , 0.8602914]], dtype=float32)]","[array([[-1.93875 , -9.467451]], dtype=float32)]"
03183__00639.jpg,"[array([[0.36489588, 2.0019062 , 0.27796665, 0.86801034]], dtype=float32)]","[array([[-0.969375 , -3.6430247]], dtype=float32)]"
03183__00258.jpg,"[array([[0.6519098, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 1.3863043, -6.4302135]], dtype=float32)]"
03183__00289.jpg,"[array([[0.5122906 , 1.000477  , 0.49800017, 0.        ]], dtype=float32)]","[array([[-1.0515524, -3.9415278]], dtype=float32)]"
03183__00543.jpg,"[array([[0.6360616, 2.2534218, 0.7524787, 0.9729114]], dtype=float32)]","[array([[ 0.      , -9.467451]], dtype=float32)]"
03183__00122.jpg,"[array([[0.69310844, 1.9812187 , 0.5225984 , 0.78685844]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03183__00685.jpg,"[array([[0.79180235, 0.3809173 , 0.30847475, 0.        ]], dtype=float32)]","[array([[ 0.55717224, -3.3685024 ]], dtype=float32)]"
03183__00654.jpg,"[array([[0.30990383, 2.1022527 , 0.19480084, 0.90955305]], dtype=float32)]","[array([[ 0.14472593, -7.1324153 ]], dtype=float32)]"
03183__00592.jpg,"[array([[0.68890566, 0.        , 0.00840026, 0.        ]], dtype=float32)]","[array([[ 0.47589442, -3.0465467 ]], dtype=float32)]"
03183__00235.jpg,"[array([[0.19997609, 1.1755337 , 0.4516491 , 0.21625224]], dtype=float32)]","[array([[-1.93875, -5.5845 ]], dtype=float32)]"
03183__00869.jpg,"[array([[0.36730838, 1.22178   , 0.4498839 , 0.        ]], dtype=float32)]","[array([[-0.675011, -3.332063]], dtype=float32)]"
03183__00298.jpg,"[array([[0.15996999, 3.0255485 , 0.6629034 , 0.6947299 ]], dtype=float32)]","[array([[-1.93875 , -9.467451]], dtype=float32)]"
03183__00628.jpg,"[array([[0.5412325 , 0.6565242 , 0.47609088, 0.        ]], dtype=float32)]","[array([[-0.969375 , -3.6430247]], dtype=float32)]"
