Image_ID,Penultimate_Output,GT_Value
03183__00347.jpg,"[array([[0.5832404 , 0.48714474, 0.24948211, 0.        ]], dtype=float32)]","[array([[ 0.       , -1.7015493]], dtype=float32)]"
03183__00739.jpg,"[array([[0.76656437, 0.        , 0.1382949 , 0.        ]], dtype=float32)]","[array([[ 1.7092862, -2.9548507]], dtype=float32)]"
03183__00398.jpg,"[array([[1.2629452, 2.2220554, 0.9011958, 1.1448551]], dtype=float32)]","[array([[ 1.7686625, -8.732562 ]], dtype=float32)]"
03183__00473.jpg,"[array([[0.9477292 , 1.8469682 , 0.71709865, 0.88937837]], dtype=float32)]","[array([[ 1.8642656, -8.756939 ]], dtype=float32)]"
03183__00557.jpg,"[array([[0.57490546, 1.3149378 , 0.67927724, 0.24727303]], dtype=float32)]","[array([[-0.04250681, -5.9372773 ]], dtype=float32)]"
03183__00209.jpg,"[array([[1.1264024 , 0.74545395, 0.5492251 , 0.        ]], dtype=float32)]","[array([[ 0.8953586, -1.9161259]], dtype=float32)]"
03183__00302.jpg,"[array([[0.3344708, 2.3067143, 0.5769038, 0.9253995]], dtype=float32)]","[array([[-1.93875 , -9.467451]], dtype=float32)]"
03183__00836.jpg,"[array([[0.8295954 , 1.3305827 , 0.66822195, 0.05811061]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
03183__00487.jpg,"[array([[0.50971895, 0.9389086 , 0.541513  , 0.        ]], dtype=float32)]","[array([[-0.43623254, -3.8506503 ]], dtype=float32)]"
03183__00361.jpg,"[array([[0.89517677, 1.6836317 , 0.5095308 , 0.4347794 ]], dtype=float32)]","[array([[ 1.93875, -5.5845 ]], dtype=float32)]"
03183__00013.jpg,"[array([[0.23015082, 0.95882434, 0.29773778, 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00439.jpg,"[array([[1.1042329 , 0.17070027, 0.28001314, 0.        ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00773.jpg,"[array([[0.5558054, 1.3808796, 0.7773008, 0.2821424]], dtype=float32)]","[array([[ 1.3863043, -6.4302135]], dtype=float32)]"
03183__00543.jpg,"[array([[0.6360616, 2.2534218, 0.7524787, 0.9729114]], dtype=float32)]","[array([[ 0.      , -9.467451]], dtype=float32)]"
03183__00058.jpg,"[array([[0.61525   , 2.3232071 , 0.62051713, 0.94216305]], dtype=float32)]","[array([[ 0.    , -5.5845]], dtype=float32)]"
03183__00430.jpg,"[array([[0.3904533, 1.7941681, 0.5026649, 0.5599239]], dtype=float32)]","[array([[ 0.60098094, -3.4022117 ]], dtype=float32)]"
03183__00584.jpg,"[array([[0.5229147 , 0.76552075, 0.36012432, 0.        ]], dtype=float32)]","[array([[ 0.47589442, -3.0465467 ]], dtype=float32)]"
03183__00514.jpg,"[array([[0.42297032, 0.        , 0.079079  , 0.        ]], dtype=float32)]","[array([[-0.5138555, -2.5388103]], dtype=float32)]"
03183__00266.jpg,"[array([[0.56164986, 0.6538349 , 0.30467525, 0.        ]], dtype=float32)]","[array([[-0.969375 , -3.6430247]], dtype=float32)]"
03183__00714.jpg,"[array([[0.51749593, 1.7120005 , 0.4628258 , 0.5785582 ]], dtype=float32)]","[array([[-1.0515524, -3.9415278]], dtype=float32)]"
03183__00573.jpg,"[array([[0.62166846, 2.1497185 , 0.5649233 , 1.0094771 ]], dtype=float32)]","[array([[ 1.93875 , -9.467451]], dtype=float32)]"
03183__00756.jpg,"[array([[0.7917978, 0.8442119, 0.6320511, 0.       ]], dtype=float32)]","[array([[ 1.0453461, -4.05227  ]], dtype=float32)]"
03183__00182.jpg,"[array([[0.23746338, 1.9139503 , 0.51088744, 1.01476   ]], dtype=float32)]","[array([[ 0.14472593, -7.1324153 ]], dtype=float32)]"
03183__00620.jpg,"[array([[1.408534, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[ 1.93875  , -1.7015493]], dtype=float32)]"
03183__00315.jpg,"[array([[0.5543144 , 0.8592376 , 0.57375467, 0.        ]], dtype=float32)]","[array([[ 0.55717224, -3.3685024 ]], dtype=float32)]"
03183__00128.jpg,"[array([[0.52579904, 2.937919  , 0.9771756 , 0.7097055 ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03183__00223.jpg,"[array([[0.24932294, 1.4089508 , 0.35647985, 0.4055143 ]], dtype=float32)]","[array([[-0.675011, -3.332063]], dtype=float32)]"
03183__00801.jpg,"[array([[0.27824312, 0.44125783, 0.        , 0.        ]], dtype=float32)]","[array([[-1.9145887, -3.8693588]], dtype=float32)]"
03183__00849.jpg,"[array([[0.31151   , 1.9246892 , 0.34307435, 0.6222464 ]], dtype=float32)]","[array([[-1.93875, -5.5845 ]], dtype=float32)]"
03183__00467.jpg,"[array([[0.61656827, 0.97245175, 0.50918025, 0.        ]], dtype=float32)]","[array([[ 0.6581997, -3.758385 ]], dtype=float32)]"
