Image_ID,Penultimate_Output,GT_Value
02240__00051.jpg,"[array([[0.9210508, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 0.8016186, -1.6866294]], dtype=float32)]"
02240__00086.jpg,"[array([[0.7243059, 2.4924946, 0.       , 1.0404773]], dtype=float32)]","[array([[-0.08680333, -8.295756  ]], dtype=float32)]"
02240__00225.jpg,"[array([[2.0857372, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 2.3686502, -2.161914 ]], dtype=float32)]"
02240__00556.jpg,"[array([[1.748536  , 0.46673372, 0.        , 0.        ]], dtype=float32)]","[array([[ 2.9763005, -3.3573499]], dtype=float32)]"
02240__00121.jpg,"[array([[0.24830653, 1.440162  , 0.        , 0.9951919 ]], dtype=float32)]","[array([[-0.26540843, -4.4810424 ]], dtype=float32)]"
02240__00694.jpg,"[array([[1.425712 , 2.5132916, 0.       , 0.5514596]], dtype=float32)]","[array([[  1.0635  , -10.585012]], dtype=float32)]"
02240__00325.jpg,"[array([[0.768933 , 0.4831221, 0.       , 0.       ]], dtype=float32)]","[array([[ 1.7750372, -4.7103243]], dtype=float32)]"
02240__00255.jpg,"[array([[1.6006216, 3.3693638, 0.       , 0.9349698]], dtype=float32)]","[array([[  3.3641067, -10.585012 ]], dtype=float32)]"
02240__00293.jpg,"[array([[1.1966314 , 0.19902872, 0.        , 0.        ]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02240__00812.jpg,"[array([[0.8666971 , 0.16717105, 0.        , 0.        ]], dtype=float32)]","[array([[ 2.0334473, -2.5608008]], dtype=float32)]"
02240__00067.jpg,"[array([[1.4075991, 1.8002989, 0.       , 0.8318123]], dtype=float32)]","[array([[ 2.3825927, -7.5005994]], dtype=float32)]"
02240__00305.jpg,"[array([[0.        , 0.74844664, 0.        , 0.36383873]], dtype=float32)]","[array([[-1.2240815, -4.7256603]], dtype=float32)]"
02240__00191.jpg,"[array([[1.9353667, 1.349113 , 0.       , 0.       ]], dtype=float32)]","[array([[ 3.3641067, -6.0065   ]], dtype=float32)]"
02240__00530.jpg,"[array([[1.3435975 , 0.06255321, 0.        , 0.        ]], dtype=float32)]","[array([[ 3.3641067, -1.427988 ]], dtype=float32)]"
02240__00844.jpg,"[array([[0.5738348, 0.9937011, 0.       , 0.8788401]], dtype=float32)]","[array([[-1.2371067, -6.0065   ]], dtype=float32)]"
02240__00494.jpg,"[array([[0.86702484, 0.04873854, 0.        , 0.        ]], dtype=float32)]","[array([[-1.2371067, -1.427988 ]], dtype=float32)]"
02240__00693.jpg,"[array([[1.1538494 , 1.5232418 , 0.        , 0.09574942]], dtype=float32)]","[array([[  0.6517092, -10.24848  ]], dtype=float32)]"
02240__00142.jpg,"[array([[1.3820001, 2.4429   , 0.       , 0.9404996]], dtype=float32)]","[array([[ 2.1240492, -7.8395033]], dtype=float32)]"
02240__00627.jpg,"[array([[0.8338483, 2.123689 , 0.       , 1.0748188]], dtype=float32)]","[array([[ 2.2138033, -8.295756 ]], dtype=float32)]"
02240__00780.jpg,"[array([[0.68924475, 1.8385674 , 0.        , 0.9378469 ]], dtype=float32)]","[array([[  2.616588, -10.404006]], dtype=float32)]"
02240__00042.jpg,"[array([[1.1850262 , 0.25143465, 0.        , 0.        ]], dtype=float32)]","[array([[ 1.0635  , -1.427988]], dtype=float32)]"
02240__00354.jpg,"[array([[1.5680662 , 2.7971313 , 0.        , 0.87253857]], dtype=float32)]","[array([[ 3.0619726, -8.155671 ]], dtype=float32)]"
02240__00115.jpg,"[array([[0.8318009 , 0.99733716, 0.        , 0.29092625]], dtype=float32)]","[array([[-0.08680333, -3.717244  ]], dtype=float32)]"
02240__00565.jpg,"[array([[0.78065604, 1.8611676 , 0.        , 0.7677075 ]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02240__00219.jpg,"[array([[0.8369875 , 1.8821174 , 0.        , 0.99385136]], dtype=float32)]","[array([[ 0.88984257, -7.2224164 ]], dtype=float32)]"
02240__00185.jpg,"[array([[0.19806378, 1.6125157 , 0.        , 1.2979958 ]], dtype=float32)]","[array([[-1.2000674, -7.252081 ]], dtype=float32)]"
02240__00678.jpg,"[array([[0.7146498 , 2.5617042 , 0.        , 0.89094645]], dtype=float32)]","[array([[ -1.2371067, -10.585012 ]], dtype=float32)]"
02240__00456.jpg,"[array([[1.2027967, 1.2614449, 0.       , 0.8358871]], dtype=float32)]","[array([[ 0.29608634, -4.3387365 ]], dtype=float32)]"
02240__00820.jpg,"[array([[1.8464538 , 2.0492175 , 0.        , 0.59903806]], dtype=float32)]","[array([[ 1.2173462, -8.762151 ]], dtype=float32)]"
02240__00244.jpg,"[array([[0.65770525, 1.6785227 , 0.        , 1.069285  ]], dtype=float32)]","[array([[-0.22450152, -6.688256  ]], dtype=float32)]"
